Vehicle_ID,Customer_ID,Registration_Number,Make,Model,Manufacture_Year
VEH00088,CUST00088,UP95TT4575,Toyota,Innova,2018
VEH00089,CUST00089,TN53FU2286,Skoda,Slavia,2025
VEH00090,CUST00090,MH70WW8794,Maruti Suzuki,Swift,2020
VEH00091,CUST00091,TS52RG4156,Tata,Harrier,2017
VEH00092,CUST00092,KA06UH5923,Hyundai,Venue,2019
VEH00093,CUST00093,DL08RK7344,Tata,Nexon,2022
VEH00094,CUST00094,AP60SB8951,Kia,Sonet,2021
VEH00095,CUST00095,DL04GW5729,Tata,Nexon,2019
VEH00096,CUST00096,RJ11XA7160,Hyundai,Creta,2024
VEH00097,CUST00097,MH63XT7948,Mahindra,XUV300,2022
VEH00098,CUST00098,MH99XL5202,Volkswagen,Virtus,2025
VEH00099,CUST00099,GJ55PW6969,Kia,Sonet,2017
VEH00100,CUST00100,MH22DD6846,Honda,City,2025
